id_solicitante,idade,salario,situacao_imovel,tempo_trabalho,motivo_emprestimo,pontuacao_emprestimo,valor_solicitado,taxa_juros,possibilidade_inadimplencia,percentual_renda,tempo_historico_solicitacoes,adimplente
cx0fhmje-zo2y,23,24000,Alugado,NULL,Pessoal,B,9600,9.99,1,0.4,4,N
wjlhupv0-lzrq,22,62400,Hipotecada,6,Educação,D,2400,14.46,0,0.04,2,S
zcrilutq-kyl6,23,47496,Alugado,7,Educação,B,3500,12.69,0,0.07,2,N
8pukserr-e3jd,26,100016,Alugado,10,Educação,C,11200,13.98,0,0.11,2,S
ovi4dqmm-purk,34,26400,Hipotecada,0,Médico,B,3600,9.88,0,0.14,9,N
fj8gmhdd-z0qn,NULL,114000,Hipotecada,2,"Pegamento de dívidas",C,1000,NULL,0,0.03,3,S
pw7ia6fo-moh6,26,66948,Própria,11,Pessoal,B,20000,10.95,0,0.3,4,N
pkevcswx-zfm5,24,30000,Alugado,1,Pessoal,B,3000,10.37,0,0.1,2,N
2b9qqcp9-5kvd,28,100000,Própria,5,Empreendimento,C,11000,13.61,0,0.11,8,S
7qqqpnry-rnlc,40,61500,Alugado,3,Pessoal,B,8000,11.48,0,0.13,17,N
z8lida3v-drxi,25,NULL,Alugado,0,Educação,B,5000,9.32,NULL,0.19,2,N
btyit9jl-cikl,24,45000,Alugado,3,"Pegamento de dívidas",B,7200,10.65,0,0.16,4,N
8i0fskng-xeeg,26,31200,Hipotecada,6,Pessoal,A,9250,7.9,0,0.3,2,N
stdrz3uf-aizw,22,28080,Alugado,NULL,Médico,B,4200,9.91,1,0.15,4,N
xnq4gbco-dtie,28,100000,Hipotecada,4,Empreendimento,B,20000,11.48,0,0.2,5,N
gmzrnbjq-htpc,39,40000,Alugado,2,Educação,A,5200,6.62,0,0.13,17,N
l42umsff-lncq,22,38000,Hipotecada,6,"Pegamento de dívidas",A,4500,5.79,0,0.12,3,N
shafsnmp-0duu,28,54600,Hipotecada,13,Educação,B,20000,11.89,1,0.37,5,N
xa4evnfg-aglz,29,77367,Própria,12,Educação,A,1000,7.37,0,0.01,9,N
uqy4zpki-uxjd,32,50000,Hipotecada,1,Médico,B,7500,10.39,0,0.15,7,N
hylztlag-6she,35,78000,Hipotecada,9,"Reforma residencial",B,9450,10.99,0,0.12,8,N
pnscllrr-qq1w,24,59600,Alugado,8,Pessoal,A,10000,5.99,0,0.17,4,N
sgxy4su4-l3as,36,45000,Própria,4,"Pegamento de dívidas",D,8000,14.74,0,0.18,13,S
fqcxdn45-shc9,27,47000,Alugado,3,Educação,C,9000,12.98,0,0.19,7,N
sszsxewi-ylpi,31,81000,Hipotecada,15,"Reforma residencial",A,7200,9.63,0,0.09,8,N
gcknrrer-pmgd,23,140000,Hipotecada,7,Pessoal,B,12000,11.71,0,0.09,4,N
tt1eccm8-jpdr,31,80004,Hipotecada,9,Médico,B,5500,10.75,0,0.07,8,N
cmcxs3xo-sp3h,24,81000,Alugado,2,"Pegamento de dívidas",C,14000,14.17,0,0.17,4,N
zzqshstx-rq3i,32,51996,Alugado,6,Médico,C,2100,NULL,0,0.04,7,S
8bs0bvu0-vcyw,22,45000,Alugado,4,Educação,B,10000,10.65,0,0.22,3,N
r8vblf1h-jppj,29,76800,Própria,NULL,Empreendimento,B,2400,9.62,0,0.03,10,N
rafjcqbq-we80,36,55500,Hipotecada,15,Educação,B,7875,11.99,0,0.14,12,N
ch7mokfr-yarq,25,71500,Hipotecada,2,Educação,B,9250,12.53,0,0.13,4,N
3b2xui2e-87qr,44,24000,Própria,5,Educação,D,5000,14.74,0,0.21,15,S
4pvhrima-tqnd,28,24000,Hipotecada,2,"Reforma residencial",B,9600,11.99,0,0.4,8,N
qlzhxe6s-hyeq,24,69996,Hipotecada,5,Empreendimento,A,12000,NULL,0,0.17,2,N
xmdaalr2-llp9,26,50400,Alugado,1,Pessoal,A,1000,5.42,0,0.02,3,N
nmguk2lt-alr1,34,84000,Hipotecada,10,Empreendimento,A,30000,7.9,0,0.36,8,N
j8ucqyeo-9wjb,26,108000,Hipotecada,5,Pessoal,A,13000,8.94,0,0.12,2,N
cxs85amu-z6oo,33,143004,Hipotecada,17,Empreendimento,A,10000,6.99,0,0.07,9,N
2zok3il0-ghqe,34,70000,Hipotecada,5,Empreendimento,C,4600,14.79,0,0.07,7,N
w8c4ln1s-21lx,23,66000,Alugado,1,Educação,C,14000,12.99,0,0.21,3,N
rrqklvur-w5xw,26,31303,Hipotecada,7,Médico,A,12000,NULL,0,0.38,2,N
mdfltrq3-n901,32,60000,Hipotecada,15,"Pegamento de dívidas",A,6000,7.14,0,0.1,9,N
0io9dmmx-2wf7,22,40000,Alugado,6,Educação,B,14000,NULL,1,0.35,4,N
wnmaiary-zb4m,25,33280,Alugado,1,Pessoal,B,5500,NULL,0,0.17,2,N
msvissq6-nqqy,33,60000,Alugado,3,"Pegamento de dívidas",A,9000,8.49,0,0.15,8,N
srzo6sfg-dcsj,37,160000,Hipotecada,3,Pessoal,A,24000,6.54,0,0.15,15,N
hlnriopt-d7s0,24,40000,Alugado,6,Médico,C,12000,13.49,0,0.3,2,N
8bjtvxyi-smxq,22,39900,Alugado,4,Educação,B,19000,12.18,1,0.48,2,N
jbwkptmf-f0hq,21,NULL,Hipotecada,5,"Pegamento de dívidas",D,1500,13.49,NULL,0.06,2,S
y3scyljx-r7no,34,59000,Hipotecada,1,Médico,C,20000,NULL,1,0.34,7,S
60aqadak-n3bk,26,81600,Hipotecada,1,"Pegamento de dívidas",B,7200,11.99,0,0.09,3,N
ctpac9dn-r23m,24,70000,Hipotecada,2,Educação,C,6000,15.23,0,0.09,4,N
zam1iymz-7ydn,26,87000,Alugado,6,Médico,A,15000,5.99,0,0.17,2,N
s3zrsg52-pedd,21,32900,Hipotecada,2,Médico,B,3000,9.99,0,0.09,2,N
p1wd0l9n-cxbd,26,115000,Alugado,3,Empreendimento,B,12000,10.99,0,0.1,3,N
irdncdd4-oi4m,23,32000,Alugado,0,Pessoal,A,4000,7.68,0,0.13,4,N
z0rkitn5-ala0,22,57000,Hipotecada,5,Pessoal,B,7500,10.25,0,0.13,2,N
ebe4j2zt-lftx,46,60000,Própria,18,Educação,C,4100,13.49,0,0.07,11,S
e5zcohx1-0nwv,22,37000,Alugado,2,Educação,A,10000,8.59,0,0.27,2,N
dpmmzrjw-tixs,26,50000,Hipotecada,10,Médico,C,13000,11.97,0,0.26,3,S
kq8ltcwi-keil,24,50000,Alugado,5,Médico,C,6000,14.79,0,0.12,4,N
eooti5zz-enss,25,110000,Hipotecada,9,Educação,A,5000,7.14,0,0.05,4,N
sfysbtfc-d8gp,28,160000,Própria,12,Pessoal,B,23000,11.83,0,0.14,8,N
ssrlgbop-v9zi,25,65000,Alugado,0,Pessoal,A,15000,9.63,0,0.23,4,N
jmuyntli-twso,43,46000,Alugado,2,Médico,D,13000,15.7,1,0.28,15,S
jnwswthh-qojb,34,73600,Hipotecada,10,"Reforma residencial",B,15000,12.42,0,0.2,7,N
f08ai7yj-0p5j,24,30000,Alugado,2,Empreendimento,A,4000,5.99,0,0.13,2,N
0tbutixw-2vcp,23,38400,Própria,5,Educação,B,7000,NULL,NULL,0.08,3,N
cdg1glxi-1bhs,26,64800,Hipotecada,5,Educação,B,2000,11.99,0,0.03,3,N
tua3vss7-xj8c,27,62000,Hipotecada,11,Educação,E,4150,18.39,0,0.07,5,N
byzcyubs-5jgi,35,53500,Hipotecada,3,"Reforma residencial",B,10000,9.91,0,0.19,9,N
6ycl4y3d-mrnr,33,100000,Alugado,4,Pessoal,C,20000,NULL,0,0.2,7,N
xhlci1jo-fmrv,26,134000,Hipotecada,2,Educação,C,30000,13.49,0,0.22,3,S
zqcxegdb-axxf,27,30000,Própria,4,Empreendimento,B,5000,NULL,0,0.17,5,N
ee6l1ime-lhiq,26,95000,Alugado,0,Empreendimento,B,12000,10.65,0,0.13,3,N
0coom1rh-xaod,22,65000,Hipotecada,1,Pessoal,B,7500,10.08,0,0.12,4,N
ln1dfodi-cvhx,33,65000,Hipotecada,4,Empreendimento,A,15000,7.51,0,0.23,8,N
6wtwbkpm-3y1d,27,60000,Hipotecada,2,"Reforma residencial",B,15000,11.86,0,0.25,8,N
df6rrpef-42we,21,58000,Hipotecada,3,Educação,A,4500,6.92,0,0.08,4,N
6ei3lhkk-uvge,33,30000,Hipotecada,8,Empreendimento,A,12000,7.14,0,0.4,5,N
mt4u8h3g-fo5b,26,44000,Hipotecada,0,"Reforma residencial",A,8475,6.91,0,0.19,4,N
yw2copdt-6ftc,26,75000,Própria,10,Educação,C,7200,NULL,0,0.1,3,N
hr4aeonn-muwg,40,25000,Própria,2,Empreendimento,A,8500,7.51,0,0.34,11,N
59jcmxy6-ql75,28,108800,Hipotecada,3,Médico,E,35000,16.4,1,0.27,7,S
ipnbafue-cnum,22,72000,Alugado,6,Médico,C,12000,12.99,0,0.17,3,S
cdrsmgu8-7mft,23,30000,Própria,1,"Pegamento de dívidas",D,4000,15.65,0,0.13,4,S
tnw2qik8-qpb2,22,68000,Hipotecada,6,Médico,A,3500,6.39,0,0.05,4,N
ubaz8sej-ota9,27,40000,Alugado,9,Pessoal,A,5000,8.49,0,0.13,8,N
h3k9rndo-k54s,25,43200,Hipotecada,NULL,Educação,C,8500,6.76,0,0.14,20,NULL
y46e8fbk-jao6,23,74706,Alugado,4,"Pegamento de dívidas",B,12000,11.58,0,0.16,3,N
wyuze1uh-ik7y,37,39000,Alugado,11,Educação,C,4000,14.65,1,0.1,15,S
qb4stpea-msx1,22,32496,Alugado,5,Pessoal,A,4400,8.49,0,0.14,4,N
qvzs2zlr-7hrq,25,32000,Alugado,9,Médico,E,15000,16.45,1,0.47,2,S
0ix2wuqk-tkuo,44,50000,Própria,6,Empreendimento,C,8500,NULL,0,0.17,15,N
frqixqgh-5lka,37,46000,Alugado,4,Educação,B,6000,11.49,0,0.13,13,N
lstbcww3-8mpj,27,60000,NULL,7,Médico,B,10000,10.65,0,NULL,10,N
uiktitmp-5ydl,28,39600,Alugado,2,Empreendimento,E,2800,16.77,1,0.07,7,S
gex91e8t-xewn,22,50000,Hipotecada,7,Educação,A,6400,8,0,0.13,2,N
yhewicfu-wmgg,29,78132,Hipotecada,11,"Pegamento de dívidas",D,25000,15.33,1,0.32,6,S
rebzfynl-hnes,25,78000,Hipotecada,9,Educação,A,8000,5.79,0,0.1,2,N
uuwowyur-rl5n,27,72996,Hipotecada,12,Educação,A,9200,6.03,0,0.13,8,N
vsjkjgsm-l67y,28,39600,Alugado,11,Educação,B,1500,12.69,0,0.04,5,N
k6eewuiy-szni,27,18000,Alugado,2,Médico,B,2400,10.65,0,0.13,6,N
v6ut2xrb-rdku,29,120000,Hipotecada,3,"Pegamento de dívidas",C,6250,12.53,0,0.05,9,N
6gebnqmf-vog8,39,61000,Hipotecada,3,Empreendimento,D,14000,16.29,0,0.23,17,S
zjj3piip-8wmj,22,115000,Hipotecada,6,Educação,A,12000,5.99,0,0.1,3,N
mdmxi3jl-t1rg,33,103000,Alugado,17,Pessoal,E,18000,16.82,0,0.17,6,S
rj3sdxlf-9dic,30,59497,Hipotecada,4,Médico,D,17000,16.89,1,0.24,8,N
6pthvluw-xh7y,24,38000,Hipotecada,4,"Reforma residencial",A,8000,7.14,0,0.21,3,N
q5r9w9qy-fttt,30,45000,Hipotecada,11,Médico,A,2500,6.76,0,0.06,10,N
lohugrbp-na67,22,50000,Alugado,2,Empreendimento,B,3500,NULL,0,0.07,3,N
rsjo0e61-wdxl,25,113000,Alugado,7,Médico,C,25000,12.73,0,0.22,4,S
9lw3mw2n-rzcc,33,80000,Própria,12,"Reforma residencial",C,9000,11.97,0,0.11,7,N
mr22flbu-llje,22,33000,Alugado,6,"Pegamento de dívidas",C,6000,13.85,0,0.18,3,N
wezhjihl-hblh,29,37200,Alugado,1,Médico,A,15000,6.03,1,0.4,10,N
tk8yy8lj-fz8l,30,134500,Hipotecada,9,"Pegamento de dívidas",C,24000,15.96,0,0.18,6,S
4xyfw0ao-n7cv,26,90000,Alugado,10,Médico,B,20000,11.49,0,0.22,3,N
t5j6melr-8zmy,33,61500,Alugado,7,Educação,A,6000,5.79,0,0.1,10,N
8p8rmafv-1wry,45,63000,Hipotecada,8,Empreendimento,B,12000,9.91,0,0.19,13,N
kijfa7xq-hjau,25,68000,Hipotecada,3,"Reforma residencial",D,6500,16.29,0,0.1,3,S
tfljsm8p-g51t,29,72000,Alugado,8,"Reforma residencial",B,20400,11.49,0,0.28,7,N
cfrsg59i-6ocs,31,31500,Alugado,2,Médico,B,4200,9.99,0,0.13,7,N
ctamzcf2-9ic7,22,68000,Hipotecada,3,Empreendimento,A,6500,5.99,0,0.1,4,N
ydobyt11-ophi,27,72000,Hipotecada,1,"Pegamento de dívidas",B,10000,10.99,0,0.14,9,N
atgmrbex-hm6u,NULL,36000,Alugado,NULL,Pessoal,D,10000,14.27,0,0.24,2,N
lxgeln2x-2itp,NULL,59000,Alugado,2,Pessoal,B,2400,7.66,0,0.05,3,N
0fwgco9p-xdnf,21,36000,Alugado,3,Médico,C,10000,13.22,0,0.28,4,N
frikqzlz-uzcq,24,115000,Hipotecada,3,"Pegamento de dívidas",D,12000,15.05,1,0.1,4,N
qre8lxwt-cdou,21,96000,Própria,1,Educação,B,7000,12.53,0,0.07,4,N
skyp7e32-ohzr,24,65000,Hipotecada,3,"Pegamento de dívidas",C,7000,13.61,0,0.11,3,S
ai16mcph-s2ij,24,90000,Hipotecada,8,Empreendimento,A,6000,5.79,0,0.07,4,N
kbr4lttk-46ia,24,190000,Própria,4,Pessoal,C,24000,15.62,0,0.13,3,S
dsmpftky-pgbi,25,84000,Hipotecada,9,Pessoal,D,3500,14.84,1,0.04,2,N
8ologoym-pcy4,23,48000,Alugado,7,Empreendimento,B,5000,8.7,0,0.1,3,N
inbgikp7-vn8d,30,145000,Hipotecada,4,Educação,B,12000,NULL,0,0.08,8,N
lqnqqdzq-uhft,25,60000,Hipotecada,9,"Reforma residencial",B,5500,10.74,0,0.09,2,N
slaw9jtp-ed4w,25,34600,Alugado,0,Educação,A,8950,6.17,0,0.26,4,N
kdhobos9-zedk,23,65000,Hipotecada,2,Educação,B,20000,12.18,0,0.31,4,N
hoy35fzn-7ntx,24,27600,Hipotecada,5,Médico,D,6000,15.62,1,0.22,2,S
2t5myayp-z7nw,57,64000,Alugado,20,Empreendimento,A,8000,8.9,0,0.13,19,N
l2xh9hw9-oh5x,25,30000,Alugado,1,Médico,B,7000,10.62,0,0.23,3,N
p4kz219p-82eu,28,44340,Hipotecada,NULL,Pessoal,A,2600,7.14,1,0.06,6,N
uxelec2t-lnba,25,39996,Alugado,1,"Pegamento de dívidas",B,5000,11.89,0,0.13,4,N
4ncxe6zw-kxi3,24,42000,Hipotecada,3,Educação,A,8675,7.51,0,0.21,4,N
nednykqv-xzpt,24,27000,Alugado,3,Empreendimento,A,8000,8.9,0,0.3,4,N
he0dufsm-fjs6,27,75000,Hipotecada,4,"Pegamento de dívidas",B,6625,NULL,0,0.09,10,N
sl7khlkg-xng0,24,27000,Alugado,1,Médico,D,1500,16.29,1,0.06,4,S
zpurzffm-kmuz,22,60000,Alugado,6,Educação,B,2000,9.63,0,0.03,2,N
hrbexbo4-sook,28,44928,Hipotecada,5,Empreendimento,C,1000,13.06,0,0.02,8,S
elhgpx83-qdxc,27,50400,Hipotecada,7,Médico,A,11000,8.94,0,0.22,5,N
6gvoo6d9-9bta,47,56004,Alugado,2,Empreendimento,B,10800,10.36,0,0.19,11,N
awqawdyu-yp0d,24,53000,Alugado,7,Médico,C,12000,12.53,0,0.23,4,S
yv1xzug2-ctko,24,40000,Alugado,6,Pessoal,C,2500,15.27,0,0.06,3,N
g1fzuw5f-il1i,27,105600,Hipotecada,0,"Pegamento de dívidas",A,10000,7.29,0,0.09,6,N
eytdr9md-8bkl,25,73000,Alugado,1,Educação,A,12000,7.49,0,0.16,3,N
lijtht5j-luv5,28,39184,Alugado,3,"Pegamento de dívidas",A,6000,6.17,0,0.15,7,N
9d0rma0y-yl6y,25,40000,Hipotecada,6,Pessoal,C,5000,12.61,0,0.13,4,S
egypb1xb-omon,24,24000,Alugado,1,Pessoal,E,1000,17.99,1,0.04,3,N
8cqmgflu-dri8,25,96000,Hipotecada,9,"Pegamento de dívidas",B,18250,11.11,0,0.19,4,N
kftoz6ah-cijd,25,21600,Alugado,0,Educação,C,4900,13.72,0,0.23,2,S
b5xsbocq-u52g,23,40000,Alugado,7,Educação,D,9250,16.07,0,0.23,2,N
bv3pxctx-wt1e,23,42000,Alugado,4,Educação,C,12000,13.49,0,0.29,2,N
ne7etohl-eede,22,19200,Alugado,0,"Pegamento de dívidas",E,3000,NULL,1,0.16,2,S
agjrhphy-fjzf,22,28000,Alugado,5,Pessoal,B,6900,9.99,0,0.25,3,N
wz3et2bl-hle4,24,96500,Hipotecada,1,Educação,E,14000,17.19,0,0.15,4,N
9sippky3-oh2d,22,40000,Hipotecada,6,Médico,A,7500,7.51,0,0.19,3,N
4t4s7bgt-30fr,22,30000,Alugado,2,"Pegamento de dívidas",B,3600,10.99,0,0.12,3,N
kay5gtve-fh3x,36,26880,Própria,0,Médico,A,4500,7.66,0,0.17,11,N
putz6oob-y34h,34,46000,Hipotecada,18,"Pegamento de dívidas",B,6700,NULL,0,0.15,10,N
pxtytgst-sye4,26,39000,Alugado,2,Educação,C,2000,12.98,0,0.05,4,N
dlaoaf5m-6fgb,36,51000,Hipotecada,4,Educação,B,4775,11.14,0,0.09,11,N
inrypjef-awoy,31,60000,Hipotecada,15,"Pegamento de dívidas",A,10000,9.63,0,0.17,8,N
xczi9ixk-znx2,25,96000,Alugado,1,"Reforma residencial",B,12000,9.99,0,0.13,4,N
ltqlswhy-dhzl,24,28000,Alugado,0,Médico,A,5000,7.68,0,0.18,3,N
d3d82wpe-ui5j,34,44000,Alugado,0,Educação,D,20000,14.96,NULL,0.21,4,N
bgzdwuze-1ih2,22,47000,Hipotecada,7,Pessoal,C,10600,15.96,0,0.23,4,S
cvlemztz-g3im,24,38400,Alugado,8,Pessoal,E,9000,NULL,NULL,NULL,7,N
rnhhoxet-ehar,26,105000,Alugado,1,"Pegamento de dívidas",B,12100,NULL,0,0.12,3,N
9hx3pp9s-6xda,23,102000,Hipotecada,7,Educação,B,10000,11.49,0,0.1,2,N
ncghqdhi-syuw,27,104000,Alugado,8,Pessoal,A,12800,7.29,0,0.12,7,N
t6a4hrf5-4xn5,26,55080,Hipotecada,10,Médico,A,2500,7.66,1,0.04,3,N
kxhontxo-deic,41,34560,Alugado,8,"Pegamento de dívidas",D,7550,16.89,1,0.22,14,N
kjwhzzh9-ua20,31,116004,Hipotecada,13,Médico,A,6775,8.59,0,0.06,10,N
viwq0dib-apl8,26,26400,Hipotecada,10,NULL,C,14400,11.14,0,0.13,5,NULL
vne4e1ek-lk7o,27,59004,Própria,8,Médico,B,24250,11.49,0,0.41,9,N
svdk3qyi-lhu0,26,65000,Alugado,3,Empreendimento,D,12000,NULL,0,0.18,4,S
akuh8uem-u1te,27,43200,Alugado,0,Empreendimento,A,12000,8.94,0,0.28,5,N
76ioe3mc-qpnt,23,37000,Alugado,4,"Pegamento de dívidas",A,6400,NULL,0,0.17,4,N
fdo3usix-xxms,33,92000,Hipotecada,8,Pessoal,C,20000,13.06,0,0.22,9,N
cm4y3gi0-ojgt,28,175000,Alugado,7,"Reforma residencial",A,6000,7.9,0,0.03,10,N
oeeic56y-2oiu,34,63000,Hipotecada,9,"Pegamento de dívidas",B,18000,11.49,0,0.29,9,N
3ngfyw6s-mfpd,NULL,96000,Hipotecada,1,Empreendimento,B,4000,6.92,0,NULL,4,N
pxu1adfk-lwbe,27,160000,Hipotecada,NULL,"Pegamento de dívidas",C,3000,6.76,0,0.1,9,N
s0e9f1kt-gpi7,23,60000,Alugado,1,"Pegamento de dívidas",A,6000,NULL,0,0.1,2,N
idhm4osh-12ee,22,94500,Alugado,2,Pessoal,B,20000,NULL,0,0.21,2,N
nczhvzue-sd52,22,90000,Hipotecada,6,Médico,B,9500,NULL,0,0.11,3,N
xo7gnxxg-fyxu,27,96000,Hipotecada,12,"Reforma residencial",E,12500,19.03,0,0.13,5,S
xyvf0td2-yyh2,38,46150,Hipotecada,6,Empreendimento,A,6500,6.03,0,0.14,15,N
xdi7lpvk-tgzw,22,39000,Alugado,2,Pessoal,D,10000,16.07,1,0.26,2,S
o6iarq2p-lwhs,25,22800,Alugado,1,Médico,B,2400,10.36,0,0.11,4,N
mua15bkj-lyct,29,120000,Alugado,3,Educação,A,15000,6.91,0,0.13,7,N
strglaur-wrhq,23,54000,Alugado,0,Educação,C,6000,12.53,0,0.11,4,S
hm4gjtoi-6ah7,25,30000,Alugado,9,Pessoal,B,3000,11.71,0,0.1,3,N
uk63eobx-dxui,25,75000,Hipotecada,4,Empreendimento,B,24000,9.91,0,0.32,2,N
yaqaaxps-wenm,23,NULL,Hipotecada,7,Empreendimento,A,4000,NULL,0,0.08,8,N
pekj0yuy-xwdi,22,60000,Alugado,6,Pessoal,B,4000,12.21,0,0.07,3,N
utr0xnx6-sptl,22,80000,Alugado,1,Educação,A,6000,NULL,0,0.07,2,N
e1xp4z5m-8hzd,32,43000,Alugado,2,Educação,C,6000,13.22,0,0.14,6,N
gf0ppyoz-lqyj,26,28000,Própria,NULL,Educação,A,16750,7.88,0,0.6,4,N
xegzo7rs-wvsm,24,36000,Alugado,2,"Pegamento de dívidas",B,10000,11.46,0,0.28,4,N
r1liuhn4-e2qn,26,68000,Hipotecada,2,Médico,A,3600,6.54,0,0.05,3,N
wtpifm9a-wmr3,29,145000,Hipotecada,0,Empreendimento,B,25000,10.08,0,0.17,8,N
mnb8lod6-hxbf,24,65000,Alugado,0,"Pegamento de dívidas",B,7000,11.83,0,0.11,2,N
mofix70a-s28k,25,77000,Hipotecada,9,"Pegamento de dívidas",A,3000,7.49,0,0.04,3,N
w1td9rbw-uuo9,26,109000,Hipotecada,0,"Pegamento de dívidas",A,20000,6.54,0,0.18,3,N
zznn8grb-hixn,31,66500,Hipotecada,0,Empreendimento,A,4200,7.66,0,0.06,8,N
fdlvxzir-9bpn,22,29000,Alugado,6,Médico,A,10000,7.29,1,0.34,3,N
wikmvrxq-raes,27,34000,Alugado,3,Médico,A,6000,8.9,0,0.18,9,N
fwj5vzde-f03b,21,31000,Alugado,NULL,"Pegamento de dívidas",B,NULL,13.22,0,0.1,4,N
wco5b0ql-hlza,25,38000,Alugado,9,Médico,B,20000,11.11,1,0.53,4,N
8qtxxlrc-e1wx,29,53590,Hipotecada,2,"Reforma residencial",B,11225,11.14,0,0.21,7,N
thupa3hr-j0fo,26,98000,Alugado,3,Empreendimento,A,4000,9.32,0,0.04,2,N
t9eqhmh6-pqbm,42,600000,"Outros casos",2,Educação,D,25000,14.74,0,0.04,11,N
zlfuzm2r-16fm,39,29894,Própria,23,"Reforma residencial",B,8000,9.63,0,0.27,17,N
rhrtr7zh-xqdv,22,27000,Alugado,3,Médico,D,6250,15.99,1,0.23,4,S
8q8ebtnf-cqga,23,74758,Hipotecada,3,"Pegamento de dívidas",B,11050,10.37,0,0.15,3,N
uyvib6l2-qv8m,25,74004,Alugado,2,"Pegamento de dívidas",D,7500,12.61,1,0.1,4,S
497l1zo6-9wsk,23,96000,Hipotecada,7,"Pegamento de dívidas",A,5000,7.51,0,0.05,2,N
xtu5gzp8-agko,36,110000,Hipotecada,7,Empreendimento,A,16000,6.03,0,0.15,12,N
wnibsj6m-grz1,26,33000,Alugado,2,Médico,B,5000,12.69,0,0.15,4,N
dorhdg3z-h5w0,32,27000,Alugado,2,Educação,C,6000,12.73,0,0.22,5,S
pathbxxr-o5w3,27,55000,Alugado,3,"Reforma residencial",B,10000,10.25,0,0.18,5,N
h6j1xzye-f91k,31,47000,Hipotecada,0,Médico,C,10000,11.03,0,0.21,7,S
hp4bhfpm-5ims,NULL,NULL,Alugado,4,"Pegamento de dívidas",B,8400,13.72,0,0.07,2,S
4pnu74z0-jhxd,35,74000,Hipotecada,9,Educação,A,8200,8,0,0.11,5,N
cbucyttd-dqha,22,60000,Hipotecada,6,Educação,A,2500,6.99,0,0.04,3,N
5elrujk1-prqh,23,92000,Hipotecada,7,Educação,C,7000,13.47,0,0.08,4,S
jhhi4gz2-xrka,30,66888,Hipotecada,6,"Reforma residencial",C,15000,12.23,0,0.22,9,S
qzzirzn4-a35j,30,21360,Alugado,1,Empreendimento,B,2400,10.25,0,0.11,9,N
o5bwudpt-bsyj,38,74000,Alugado,9,Educação,C,9000,12.84,0,0.12,12,N
ohgwyldz-6sbh,22,62400,Alugado,6,Empreendimento,A,9000,8.49,0,0.14,3,N
bbuj4oqc-bmsg,40,68000,Hipotecada,1,Pessoal,A,9200,8.94,0,0.14,11,N
rdpcdbon-i4qw,32,59363,Alugado,2,Pessoal,C,6000,13.22,0,0.1,10,S
g6e24riw-lrqf,54,53700,Alugado,1,"Reforma residencial",D,29850,NULL,1,0.56,28,S
rnsso5ly-x2hr,23,50000,Hipotecada,5,"Pegamento de dívidas",A,6000,7.66,0,0.12,4,N
m3sruql5-qbbe,26,22800,Alugado,4,"Pegamento de dívidas",C,5000,13.57,0,0.22,4,N
em2oz1mb-qboz,34,44000,Alugado,0,Educação,D,16000,13.24,1,0.36,6,S
k9jt7h02-hgut,24,63996,Hipotecada,5,Empreendimento,B,6000,10.75,0,0.09,3,N
rihqmv96-xjok,24,32000,Alugado,2,Educação,B,2000,10.59,1,0.06,3,N
05o7rxo7-9lhq,23,65000,Alugado,2,"Pegamento de dívidas",B,3600,11.49,0,0.06,2,N
a48n6hxg-o7ws,29,162480,Hipotecada,2,Pessoal,B,25000,12.42,0,0.15,10,N
zxecappl-f5k6,27,115752,Hipotecada,6,"Pegamento de dívidas",B,10000,11.36,0,0.09,7,N
j2ikuukd-bixf,21,36662,Própria,4,Empreendimento,B,18000,10.25,0,0.49,4,N
u3hsq2b0-kmxf,27,54216,Hipotecada,4,Pessoal,A,9000,5.99,0,0.17,5,N
crkfhybc-bpv0,28,40000,Alugado,1,Médico,C,1700,NULL,0,0.04,9,N
tidg1jbn-czwg,30,38400,Alugado,6,"Pegamento de dívidas",C,1600,13.49,0,0.04,10,N
wzjujyhp-qv1p,27,45000,Alugado,11,"Pegamento de dívidas",A,13000,8.94,0,0.29,6,N
cxjj0cen-m02n,37,32000,Alugado,0,Empreendimento,A,12000,7.49,1,0.38,15,N
ktrly8r3-wref,28,225000,Hipotecada,12,"Pegamento de dívidas",B,6000,11.12,0,0.03,7,N
aolmq3gp-ab82,37,49000,Alugado,2,"Pegamento de dívidas",C,3000,NULL,1,0.06,14,S
ax5gqtgi-yidp,22,51000,Alugado,6,"Pegamento de dívidas",B,15000,11.11,0,0.29,4,N
xrwqf2wf-plia,22,32400,Hipotecada,6,Educação,A,3625,6.92,0,0.11,3,N
7oho0wb9-ie3d,28,30000,Alugado,7,Empreendimento,B,10000,10.38,1,0.33,5,N
kfyzx6gj-skq4,25,64800,Hipotecada,9,Educação,B,4500,10.65,0,0.07,2,N
cok0cvwo-fmfr,23,80400,Alugado,4,Educação,A,9000,7.51,0,0.11,4,N
cakq7u8e-m15h,29,58650,Hipotecada,5,Médico,E,3000,17.19,1,0.04,6,N
9kxyy4yz-jtw6,23,130104,Hipotecada,7,Empreendimento,A,24000,6.54,0,0.18,2,N
cwfgnqtz-ddsw,22,30000,Alugado,NULL,Pessoal,D,6400,15.99,1,0.21,4,N
r3skncxl-vbzk,58,20000,Alugado,0,Educação,B,4000,9.99,0,0.2,30,N
gccylu17-sldg,40,233000,Hipotecada,6,Médico,B,15000,11.83,0,0.06,15,N
